t1,t2,n,accuracy,balanced_accuracy,f1_macro,kappa
0.3,0.7000000000000001,129,0.7054263565891473,0.6399341850561363,0.6459231222805989,0.5233835683033544
0.3,0.72,129,0.6976744186046512,0.6113131313131314,0.6122052664376912,0.5023246611929963
0.3,0.74,129,0.6976744186046512,0.6027777777777777,0.602477739063105,0.4977538185085355
0.3,0.76,129,0.7131782945736435,0.6149758454106281,0.6189589733013485,0.5198189134808853
0.3,0.78,129,0.7286821705426356,0.6251984126984128,0.636347640822915,0.5405982905982907
0.3,0.8,129,0.7131782945736435,0.5807256235827665,0.566637669594717,0.507176045431079
0.3,0.8200000000000001,129,0.7131782945736435,0.5503267973856208,0.5097630463484122,0.4973143759873617
0.3,0.84,129,0.7209302325581395,0.5517094017094016,0.5134812365072804,0.5074769328666878
0.3,0.86,129,0.751937984496124,0.5567460317460318,0.5277444577724466,0.5495908346972176
0.3,0.88,129,0.7596899224806202,0.5578947368421052,0.5311653116531165,0.5605011539729641
0.3,0.9,129,0.7674418604651163,0.5590038314176246,0.534530990471195,0.571570906675523
0.3,0.92,129,0.7829457364341085,0.5611111111111111,0.5411020776874436,0.5942028985507246
0.3,0.9400000000000001,129,0.7829457364341085,0.5611111111111111,0.5411020776874436,0.5942028985507246
0.3,0.96,129,0.8062015503875969,0.564021164021164,0.5505766685573833,0.6294381247845571
0.3,0.98,129,0.8217054263565892,0.5658119658119659,0.5566519787335279,0.6538326916345818
0.3,1.0,129,0.8294573643410853,0.5666666666666668,0.559620596205962,0.6663139329805996
0.32,0.34,129,0.875968992248062,0.8760817307692308,0.5909743589743589,0.757661148291652
0.32,0.36,129,0.8682170542635659,0.8683894230769231,0.5880066170388751,0.7444651596364484
0.32,0.38,129,0.8604651162790697,0.578125,0.5873896595208071,0.733103448275862
0.32,0.4,129,0.8449612403100775,0.5720072751322751,0.5836242189183366,0.7092957746478873
0.32,0.42,129,0.7984496124031008,0.5482411202185792,0.5685839685839685,0.6399355877616747
0.32,0.44,129,0.7906976744186046,0.6811114532019705,0.6437405731523379,0.6421085080147966
0.32,0.46,129,0.7674418604651163,0.6526550224466892,0.6395299145299145,0.6098003629764065
0.32,0.48,129,0.7364341085271318,0.6279636644219978,0.6127585779759693,0.5653121902874133
0.32,0.5,129,0.7364341085271318,0.6433110587002097,0.6244714349977508,0.5676261829652997
0.32,0.52,129,0.7209302325581395,0.6530841503267973,0.6285270285270285,0.5497382198952879
0.32,0.54,129,0.6976744186046512,0.6195790816326531,0.6055902419968614,0.5140538974210374
0.32,0.56,129,0.689922480620155,0.6317338863463005,0.614433055528946,0.5081498427223334
0.32,0.58,129,0.689922480620155,0.638866341991342,0.6211376276225208,0.5094590740564693
0.32,0.6,129,0.7131782945736435,0.6635416666666667,0.6568910256410256,0.5446479679450487
0.32,0.62,129,0.7364341085271318,0.6874505850727388,0.6916508778577745,0.5779445727482679
0.32,0.64,129,0.7131782945736435,0.6567234848484849,0.6600539811066126,0.5402619919090734
0.32,0.66,129,0.7054263565891473,0.6469381313131314,0.6463936304804297,0.5279730380356282
0.32,0.68,129,0.7209302325581395,0.661201375711575,0.6628565544228194,0.5498691480081419
